SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000264,7.6,5,7,4,-1,-1,-1,7.75,8.4,N1,,,,,,,,,,
35000265,6.6,-1,-1,-1,5,6,8,7.75,5.2,N1,,,,,,,,,,
35000266,6,-1,-1,-1,4.25,6,7.25,6.75,4.6,N1,,,,,,,,,,
35000267,7.6,-1,-1,-1,3.75,7,7,6.25,5.6,N1,,,,,,,,,,
35000268,8.4,5,7,6,-1,-1,-1,7.75,5.2,N1,,,,,,,,,,
35000269,3.8,-1,-1,-1,2.75,4.5,-1,5.25,-1,none,,,,,,,,,,
35000270,8.2,7,6.75,3.5,-1,-1,-1,6.5,5.2,N1,,,,,,,,,,
35000271,5.6,-1,-1,-1,3.75,3.75,-1,6.75,-1,none,,,,,,,,,,
35000272,7.6,-1,-1,-1,6.5,6.75,7,9,6.6,N1,,,,,,,,,,
35000273,5.8,-1,-1,-1,8,7.25,7.25,7.25,5.2,N1,,,,,,,,,,
35000274,8.2,-1,-1,-1,4.75,6,6.5,8,4.4,N1,,,,,,,,,,
35000275,7.8,-1,-1,-1,5.75,5,7,9,8.8,N1,,,,,,,,,,
35000276,6.8,-1,-1,-1,6.5,6.25,8.25,8.25,3.4,N1,,,,,,,,,,
35000277,7.2,6.75,8.25,5.5,-1,-1,-1,7,3.8,N1,,,,,,,,,,
35000278,8.2,-1,-1,-1,7.5,8.25,8.75,9.5,8.8,N1,,,,,,,,,,
35000279,5.2,-1,-1,-1,4.75,6,6.5,7.5,3.2,N1,,,,,,,,,,
35000280,6.8,-1,-1,-1,5.75,7.25,8.5,7,4.4,N1,,,,,,,,,,
35000281,5.8,-1,-1,-1,3.75,5.25,6.5,5.5,4,N1,,,,,,,,,,
35000282,6,-1,-1,-1,4.25,6.25,8,6.5,3.2,N1,,,,,,,,,,
35000283,8,7,7.75,3.75,-1,-1,-1,6.75,5.2,N1,,,,,,,,,,
35000284,8.8,6.5,5,6.5,-1,-1,-1,6.5,9,N1,,,,,,,,,,
35000285,5.6,-1,-1,-1,4.5,4.25,-1,5,-1,none,,,,,,,,,,
35000286,4.6,-1,-1,-1,3.25,6,3.25,5.5,2.4,N1,,,,,,,,,,
35000287,5.4,-1,-1,-1,6.75,6.25,7.75,6.75,3.6,N1,,,,,,,,,,
35000288,7.8,-1,-1,-1,7.5,6.75,8.5,6.25,4.2,N1,,,,,,,,,,
